photo_number,filename,label,genus
1,001_Battus_crassus_crassus.png,Battus crassus crassus,Battus
2,002_Battus_crassus_crassus.png,Battus crassus crassus,Battus
3,003_Battus_crassus_crassus.png,Battus crassus crassus,Battus
4,004_Battus_crassus_lepidus.png,Battus crassus lepidus,Battus
5,005_Battus_ingenuus.png,Battus ingenuus,Battus
6,006_Battus_ingenuus.png,Battus ingenuus,Battus
7,007_Battus_ingenuus.png,Battus ingenuus,Battus
8,008_Battus_ingenuus.png,Battus ingenuus,Battus
9,009_Battus_ingenuus.png,Battus ingenuus,Battus
10,010_Battus_ingenuus.png,Battus ingenuus,Battus
11,011_Battus_ingenuus.png,Battus ingenuus,Battus
12,012_Battus_laodamas_laodamas.png,Battus laodamas laodamas,Battus
13,013_Battus_laodamas_laodamas.png,Battus laodamas laodamas,Battus
14,014_Battus_laodamas_laodamas.png,Battus laodamas laodamas,Battus
15,015_Battus_laodamas_laodamas.png,Battus laodamas laodamas,Battus
16,016_Battus_lycidas.png,Battus lycidas,Battus
17,017_Battus_lycidas.png,Battus lycidas,Battus
18,018_Battus_lycidas.png,Battus lycidas,Battus
19,019_Battus_lycidas.png,Battus lycidas,Battus
20,020_Battus_lycidas.png,Battus lycidas,Battus
21,021_Battus_lycidas.png,Battus lycidas,Battus
22,022_Battus_polydamas_polydamas.png,Battus polydamas polydamas,Battus
23,023_Battus_polydamas_polydamas.png,Battus polydamas polydamas,Battus
24,024_Battus_polydamas_polydamas.png,Battus polydamas polydamas,Battus
25,025_Battus_polydamas_polydamas.png,Battus polydamas polydamas,Battus
26,026_Eurytides_callias.png,Eurytides callias,Eurytides
27,027_Eurytides_callias.png,Eurytides callias,Eurytides
28,028_Eurytides_callias.png,Eurytides callias,Eurytides
29,029_Eurytides_columbus.png,Eurytides columbus,Eurytides
30,030_Eurytides_columbus.png,Eurytides columbus,Eurytides
31,031_Eurytides_columbus.png,Eurytides columbus,Eurytides
32,032_Eurytides_columbus.png,Eurytides columbus,Eurytides
33,033_Eurytides_dolicaon_deileon.png,Eurytides dolicaon deileon,Eurytides
34,034_Eurytides_dolicaon_deileon.png,Eurytides dolicaon deileon,Eurytides
35,035_Eurytides_orabilis_orabilis.png,Eurytides orabilis orabilis,Eurytides
36,036_Eurytides_orabilis_orabilis.png,Eurytides orabilis orabilis,Eurytides
37,037_Eurytides_serville_serville.png,Eurytides serville serville,Eurytides
38,038_Eurytides_serville_serville.png,Eurytides serville serville,Eurytides
39,039_Eurytides_serville_serville.png,Eurytides serville serville,Eurytides
40,040_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
41,041_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
42,042_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
