source_pdf,page,photo_number,filename,label,genus,extra_metadata
Dataset_pieridae.pdf,9,1,images\Dataset_pieridae\001_Dismorphia_altis_altis.png,Dismorphia altis altis,Dismorphia,Reserva Las Tangaras El Carmen de | Atrato  Chocó - CocE
Dataset_pieridae.pdf,9,2,images\Dataset_pieridae\002_Dismorphia_altis_altis.png,Dismorphia altis altis,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,9,3,images\Dataset_pieridae\003_Dismorphia_altis_sophia.png,Dismorphia altis sophia,Dismorphia,Santuario de F y F Otún Quimbaya | Pereira  Risaralda - Cce
Dataset_pieridae.pdf,9,4,images\Dataset_pieridae\004_Dismorphia_amphione.png,Dismorphia amphione,Dismorphia,Guaracu San Jerónimo  Antioquia - CceO | 6
Dataset_pieridae.pdf,9,5,images\Dataset_pieridae\005_Dismorphia_amphione.png,Dismorphia amphione,Dismorphia,Hacienda Farias Concordia  Antioquia - | Cce
Dataset_pieridae.pdf,9,6,images\Dataset_pieridae\006_Dismorphia_amphione.png,Dismorphia amphione,Dismorphia,- -  - - -
Dataset_pieridae.pdf,9,7,images\Dataset_pieridae\007_Dismorphia_arcadia_arcadia.png,Dismorphia arcadia arcadia,Dismorphia,- -  - - -
Dataset_pieridae.pdf,9,8,images\Dataset_pieridae\008_Dismorphia_arcadia_lucilla.png,Dismorphia arcadia lucilla,Dismorphia,- -  - - -
Dataset_pieridae.pdf,10,9,images\Dataset_pieridae\009_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Hacienda Farias Concordia  Antioquia - | Cce
Dataset_pieridae.pdf,10,10,images\Dataset_pieridae\010_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,- -  - - -
Dataset_pieridae.pdf,10,11,images\Dataset_pieridae\011_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Hacienda Farias Concordia  Antioquia - | Cce
Dataset_pieridae.pdf,10,12,images\Dataset_pieridae\012_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Pueblito de San Jose Amagá  Antioquia - | CceO
Dataset_pieridae.pdf,10,13,images\Dataset_pieridae\013_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,- -  - - -
Dataset_pieridae.pdf,10,14,images\Dataset_pieridae\014_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Hacienda Farias Concordia  Antioquia - | Cce
Dataset_pieridae.pdf,10,15,images\Dataset_pieridae\015_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Vereda Paso Nivel - Finca Zanzibar | Amagá  Antioquia - Cce
Dataset_pieridae.pdf,10,16,images\Dataset_pieridae\016_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Hacienda Farias Concordia  Antioquia - | Cce
Dataset_pieridae.pdf,10,17,images\Dataset_pieridae\017_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Vereda Paso Nivel - Finca Zanzibar | Amagá  Antioquia - Cce
Dataset_pieridae.pdf,10,18,images\Dataset_pieridae\018_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,- -  - - - | Mariposas de Colombia - ButterflyBase-JGJ
Dataset_pieridae.pdf,10,19,images\Dataset_pieridae\019_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,Municipio Jardín - Fundación Colibrí | Jardín  Antioquia - Cce
Dataset_pieridae.pdf,10,20,images\Dataset_pieridae\020_Dismorphia_crisia_foedora.png,Dismorphia crisia foedora,Dismorphia,- -  - - -
Dataset_pieridae.pdf,11,21,images\Dataset_pieridae\021_Dismorphia_crisia_interrupta.png,Dismorphia crisia interrupta,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,11,22,images\Dataset_pieridae\022_Dismorphia_crisia_interrupta.png,Dismorphia crisia interrupta,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,11,23,images\Dataset_pieridae\023_Dismorphia_crisia_interrupta.png,Dismorphia crisia interrupta,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,11,24,images\Dataset_pieridae\024_Dismorphia_crisia_interrupta.png,Dismorphia crisia interrupta,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,11,25,images\Dataset_pieridae\025_Dismorphia_crisia_interrupta.png,Dismorphia crisia interrupta,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,11,26,images\Dataset_pieridae\026_Dismorphia_crisia_tolimensis.png,Dismorphia crisia tolimensis,Dismorphia,Pueblito de San Jose Amagá  Antioquia - | CceO
Dataset_pieridae.pdf,11,27,images\Dataset_pieridae\027_Dismorphia_crisia_tolimensis.png,Dismorphia crisia tolimensis,Dismorphia,- -  - - - | EC
Dataset_pieridae.pdf,11,28,images\Dataset_pieridae\028_Dismorphia_crisia_tolimensis.png,Dismorphia crisia tolimensis,Dismorphia,Pueblito de San Jose Amagá  Antioquia - | CceO
Dataset_pieridae.pdf,11,29,images\Dataset_pieridae\029_Dismorphia_hippotas_diana.png,Dismorphia hippotas diana,Dismorphia,- -  - - -
Dataset_pieridae.pdf,11,30,images\Dataset_pieridae\030_Dismorphia_hippotas_hippotas.png,Dismorphia hippotas hippotas,Dismorphia,- -  - - - | Mariposas de Colombia - ButterflyBase-JGJ
Dataset_pieridae.pdf,11,31,images\Dataset_pieridae\031_Dismorphia_hyposticta_hyposticta.png,Dismorphia hyposticta hyposticta,Dismorphia,- -  - - -
Dataset_pieridae.pdf,11,32,images\Dataset_pieridae\032_Dismorphia_hyposticta_hyposticta.png,Dismorphia hyposticta hyposticta,Dismorphia,Reserva La Romera Sabaneta  Antioquia - | Cce
Dataset_pieridae.pdf,12,33,images\Dataset_pieridae\033_Dismorphia_hyposticta_hyposticta.png,Dismorphia hyposticta hyposticta,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,34,images\Dataset_pieridae\034_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,12,35,images\Dataset_pieridae\035_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,36,images\Dataset_pieridae\036_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,37,images\Dataset_pieridae\037_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,38,images\Dataset_pieridae\038_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,39,images\Dataset_pieridae\039_Dismorphia_hyposticta_manuelita.png,Dismorphia hyposticta manuelita,Dismorphia,- -  - - -
Dataset_pieridae.pdf,12,40,images\Dataset_pieridae\040_Dismorphia_lelex_valeria.png,Dismorphia lelex valeria,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
Dataset_pieridae.pdf,12,41,images\Dataset_pieridae\041_Dismorphia_lelex_valeria.png,Dismorphia lelex valeria,Dismorphia,Carretera Montezuma - PNN Tatamá | Pueblo Rico  Risaralda - CocE
